SKU,Descripcion,Familia,Linea,Fabricante,Precio_Lista,Moneda,Porcentaje_IVA,Porcentaje_IEPS
66362,VARITA DE CHOCOLATE HP 1.5 OZ (42G),GOMITAS,JELLY BELLY,JELLY BELLY,255,Pesos,0,8
PARP/6U-3,3 PZ PALMINI/OA PALMINI CORAZON DE PALMITO (RICE),PALMINI,OA FOODS LLC,OA FOODS LLC,255,Pesos,0,0
HARIBO6-MIX,HARIBO MIX 6 BOLSAS SURTIDAS DE 150 GRAMOS,GOMITAS,HARIBO,HARIBO,254.63,Pesos,0,8
HARIBO7-MIX,HARIBO MIX 7 BOLSAS SURTIDAS DE 150 GRAMOS,GOMITAS,HARIBO,HARIBO,252.7777,Pesos,0,8
927,JELLY BELLY SUNKIST ORANGE KG,GOMITAS,JELLY BELLY,JELLY BELLY,250,Pesos,0,8
10000033,CHOCOLATE CON COBERTURA DULCE 213G,NULL,RUSSEL,RUSELL,249,Pesos,0,8
10000034,CHOCOLATE CON CACAHUATE CON COBERTURA DULCE 213G,NULL,RUSSEL,RUSELL,249,Pesos,0,8
102131300 SP,POLVO ISO DRINK NARANJA 440 G,DEXTRO,DEXTRO,DEXTRO,248.38,Pesos,16,0
102131302,POLVO ISO DRINK CITRUS 440 G,DEXTRO,DEXTRO,DEXTRO,248.38,Pesos,16,0
102131302 SP,POLVO ISO DRINK CITRUS 440 G,DEXTRO,DEXTRO,DEXTRO,248.38,Pesos,16,0
3085,BERENJENAS FRITAS RELLANAS DE CEBOLLA Y SALSA DE TOMATE 2.5 kg,PARILIA,PALIRIA,PALIRIA,245,Pesos,0,0
NUTSEL03,CHOCOLATE NUT SELECTION 3 PZAS,NULL,RITTER,RITTER,241,Pesos,0,8
HARIBO10-MIX,HARIBO MIX 10 BOLSAS SURTIDAS DE 80 GRAMOS,GOMITAS,HARIBO,HARIBO,240.75,Pesos,0,8
AT50369C,CHICLOSO MAOAM 1 KG,GOMITAS,HARIBO,HARIBO,235,Pesos,0,8
PACK 03224 - 6,PACK DISPENSADOR PEPPA PIG DE PEZ,DULCE C/AZ,PEZ,PEZ,231.2068,Pesos,16,0
4001AM,CHOCO SEMI AMARGO Y CHOCO C/LECHE RELLENO 340 G,NULL,RUSSEL,RUSELL,215,Pesos,0,8
